"시군구별",2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"상주시",18,15,13,15,24,25,424,405,349,325,337,296,266,216,265,219
"문경시",9,12,10,10,18,17,353,295,285,245,215,229,173,165,166,158
"경산시",72,62,51,64,74,94,1479,1556,1541,1341,1283,1198,987,868,902,881
"군위군",0,0,0,0,0,0,76,99,61,77,67,64,50,34,33,0
"의성군",0,0,0,0,0,0,187,184,190,151,141,154,131,90,85,0
"청송군",0,0,0,0,0,0,116,103,113,91,87,81,63,63,67,0
"영양군",0,0,0,0,0,0,73,66,68,46,54,50,45,43,39,0
"영덕군",0,0,0,0,0,0,150,152,155,140,130,105,84,65,81,0
"청도군",0,0,0,0,0,0,164,151,141,120,130,107,87,72,87,0
"고령군",0,0,0,0,0,0,152,132,127,118,111,88,63,61,56,0
"성주군",0,0,0,0,0,0,175,152,155,157,184,141,132,114,98,0
"칠곡군",0,0,0,0,0,0,844,993,949,807,657,511,406,367,370,0
"예천군",0,0,0,0,0,0,171,182,143,169,235,202,224,181,182,0
"봉화군",0,0,0,0,0,0,129,121,123,88,81,85,63,67,62,0
"울진군",0,0,0,0,0,0,254,241,259,224,238,209,183,148,155,0
"울릉군",0,0,0,0,0,0,66,53,46,43,50,40,35,31,31,0
