"시군구별",2014,2015,2016,2017,2018,2019,2020,2021,2022
"시군구별",합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율
"영암군",2.002,2.107,1.902,1.777,1.594,1.542,1.375,1.161,0.946
"무안군",1.446,1.444,1.413,1.178,1.054,1.038,1.012,0.967,1.010
"함평군",1.954,1.630,1.701,1.371,1.289,1.181,1.345,0.924,0.881
"영광군",1.674,1.652,1.656,1.544,1.816,2.538,2.455,1.869,1.803
"장성군",1.825,2.101,1.887,1.641,1.778,1.429,1.509,0.953,0.827
"완도군",1.902,1.767,1.828,1.634,1.616,1.567,1.439,1.295,1.129
"진도군",1.663,1.697,1.546,1.533,1.217,1.529,1.073,1.273,1.101
"신안군",1.651,1.539,1.573,1.595,1.593,1.437,1.338,1.501,1.298
"경상북도",1.408,1.464,1.396,1.256,1.167,1.089,1.003,0.966,0.930
"포항시",1.404,1.475,1.352,1.217,1.117,1.014,0.956,0.883,0.889
"남구",1.403,1.529,1.371,1.184,1.110,0.997,0.920,0.859,0.825
"북구",1.406,1.426,1.334,1.247,1.123,1.028,0.984,0.904,0.939
"경주시",1.241,1.294,1.258,1.093,1.036,0.942,0.971,0.951,0.893
"김천시",1.384,1.419,1.515,1.432,1.414,1.271,1.254,1.231,1.164
"안동시",1.420,1.619,1.526,1.420,1.201,1.170,1.017,1.042,0.963
"구미시",1.438,1.440,1.343,1.201,1.110,0.984,0.944,0.872,0.818
"영주시",1.298,1.357,1.322,1.182,1.214,0.995,0.966,1.028,0.961
"영천시",1.502,1.554,1.412,1.353,1.180,1.549,1.358,1.322,1.313
"상주시",1.308,1.391,1.302,1.176,1.241,1.238,1.066,0.988,1.073
"문경시",1.551,1.571,1.382,1.304,1.084,1.190,1.291,1.219,1.104
"경산시",1.462,1.457,1.521,1.300,1.182,1.065,0.888,0.934,0.873
"군위군",1.376,1.239,1.333,1.360,1.179,1.233,1.014,1.060,1.486
"의성군",1.446,1.505,1.652,1.404,1.630,1.761,1.598,1.375,1.457
"청송군",1.602,1.548,1.380,1.531,1.090,1.623,1.184,1.385,1.207
"영양군",1.631,1.517,1.277,1.485,1.170,1.437,1.078,0.858,0.696
"영덕군",1.446,1.542,1.225,1.631,1.219,1.488,1.360,1.003,1.141
"청도군",0.872,1.081,1.083,0.975,1.056,1.009,0.903,0.800,0.985
"고령군",1.619,1.710,1.460,1.306,1.156,1.037,0.977,1.064,0.975
"성주군",1.470,1.674,1.640,1.541,1.486,1.314,1.264,1.309,1.183
"칠곡군",1.440,1.583,1.541,1.292,1.185,0.964,0.741,0.756,0.723
"예천군",1.300,1.544,1.431,1.272,1.527,1.541,1.380,1.303,1.159
"봉화군",1.652,1.623,1.600,1.566,1.512,1.480,1.302,0.930,1.026
"울진군",1.662,1.647,1.430,1.255,1.210,1.236,1.118,1.102,1.052
"울릉군",0.919,1.164,0.870,0.745,0.767,1.170,0.860,0.811,0.639
